
> frontend@0.1.0 dev
> next dev --port 3000

▲ Next.js 16.1.2 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://10.10.13.87:3000

✓ Starting...
✓ Ready in 619ms
 GET /?ticker=SIDU 200 in 51ms (compile: 6ms, render: 45ms)
 GET /sw.js 404 in 21ms (compile: 3ms, render: 18ms)
 GET /?ticker=002970 200 in 23ms (compile: 1793µs, render: 21ms)
 GET /?ticker=OKLO 200 in 25ms (compile: 4ms, render: 20ms)
 GET /?ticker=002970 200 in 10ms (compile: 1292µs, render: 9ms)
 GET /?ticker=002050 200 in 25ms (compile: 8ms, render: 17ms)
✓ Compiled in 42ms
✓ Compiled in 92ms
 GET /?ticker=002050 200 in 119ms (compile: 63ms, render: 56ms)
 GET /?ticker=OKLO 200 in 125ms (compile: 48ms, render: 77ms)
 GET /?ticker=002050 200 in 59ms (compile: 1871µs, render: 57ms)
 GET /?ticker=OKLO 200 in 64ms (compile: 12ms, render: 52ms)
 GET /?ticker=002050 200 in 58ms (compile: 1119µs, render: 57ms)
 GET /?ticker=OKLO 200 in 61ms (compile: 10ms, render: 51ms)
 GET /?ticker=002050 200 in 64ms (compile: 3ms, render: 61ms)
 GET /?ticker=OKLO 200 in 69ms (compile: 6ms, render: 63ms)
 GET /?ticker=002050 200 in 67ms (compile: 1307µs, render: 66ms)
 GET /?ticker=OKLO 200 in 73ms (compile: 6ms, render: 67ms)
 GET /?ticker=002050 200 in 67ms (compile: 687µs, render: 67ms)
 GET /?ticker=OKLO 200 in 67ms (compile: 6ms, render: 62ms)
 GET /?ticker=002050 200 in 62ms (compile: 3ms, render: 59ms)
 GET /?ticker=OKLO 200 in 54ms (compile: 3ms, render: 51ms)
 GET /?ticker=002050 200 in 51ms (compile: 971µs, render: 50ms)
 GET /?ticker=OKLO 200 in 50ms (compile: 1942µs, render: 48ms)
 GET /?ticker=002050 200 in 51ms (compile: 1063µs, render: 50ms)
 GET /?ticker=OKLO 200 in 51ms (compile: 7ms, render: 44ms)
 GET /?ticker=002050 200 in 46ms (compile: 732µs, render: 45ms)
 GET /?ticker=OKLO 200 in 59ms (compile: 1638µs, render: 57ms)
 GET /?ticker=002050 200 in 59ms (compile: 1641µs, render: 57ms)
 GET /?ticker=OKLO 200 in 60ms (compile: 1660µs, render: 58ms)
 GET /?ticker=002050 200 in 57ms (compile: 954µs, render: 56ms)
 GET /?ticker=OKLO 200 in 57ms (compile: 2ms, render: 55ms)
 GET /?ticker=002050 200 in 57ms (compile: 1410µs, render: 55ms)
 GET /?ticker=OKLO 200 in 53ms (compile: 1330µs, render: 52ms)
 GET /?ticker=002050 200 in 50ms (compile: 1459µs, render: 48ms)
 GET /?ticker=OKLO 200 in 49ms (compile: 3ms, render: 46ms)
 GET /?ticker=002050 200 in 49ms (compile: 848µs, render: 48ms)
 GET /?ticker=OKLO 200 in 49ms (compile: 1119µs, render: 48ms)
 GET /?ticker=002050 200 in 44ms (compile: 1163µs, render: 43ms)
 GET /?ticker=OKLO 200 in 37ms (compile: 1392µs, render: 35ms)
 GET /?ticker=002050 200 in 30ms (compile: 713µs, render: 30ms)
 GET /?ticker=OKLO 200 in 25ms (compile: 1839µs, render: 23ms)
 GET /?ticker=002050 200 in 18ms (compile: 1070µs, render: 17ms)
 GET /?ticker=OKLO 200 in 10ms (compile: 1744µs, render: 8ms)
✓ Compiled in 1ms
✓ Compiled in 158ms
 GET /portfolio 200 in 513ms (compile: 415ms, render: 97ms)
 GET /sw.js 404 in 127ms (compile: 83ms, render: 44ms)
 GET /portfolio 200 in 204ms (compile: 27ms, render: 178ms)
 GET /sw.js 404 in 21ms (compile: 4ms, render: 18ms)
 GET / 200 in 91ms (compile: 71ms, render: 20ms)
 GET /?ticker=AAPL 200 in 20ms (compile: 3ms, render: 18ms)
 GET /?ticker=AAPL 200 in 54ms (compile: 9ms, render: 45ms)
 GET /portfolio 200 in 109ms (compile: 22ms, render: 87ms)
 GET /sw.js 404 in 19ms (compile: 3ms, render: 16ms)
 GET /portfolio 200 in 92ms (compile: 20ms, render: 73ms)
 GET /sw.js 404 in 19ms (compile: 3ms, render: 16ms)
 GET /?ticker=NET 200 in 15ms (compile: 3ms, render: 12ms)
✓ Compiled in 61ms
 GET /?ticker=NET 200 in 157ms (compile: 6ms, render: 151ms)
 GET /sw.js 404 in 20ms (compile: 3ms, render: 17ms)
 GET /?ticker=002970 200 in 6ms (compile: 992µs, render: 5ms)
 GET /?ticker=AAPL 200 in 12ms (compile: 1532µs, render: 11ms)
 GET /portfolio 200 in 77ms (compile: 54ms, render: 23ms)
 GET /?ticker=AMD 200 in 18ms (compile: 4ms, render: 14ms)
 GET /portfolio 200 in 18ms (compile: 6ms, render: 11ms)
 GET /?ticker=IAU 200 in 15ms (compile: 5ms, render: 10ms)
 GET /portfolio 200 in 17ms (compile: 6ms, render: 11ms)
 GET /?ticker=SLV 200 in 16ms (compile: 2ms, render: 14ms)
 GET /portfolio 200 in 14ms (compile: 1579µs, render: 12ms)
 GET /?ticker=SNDK 200 in 18ms (compile: 3ms, render: 15ms)
 GET /portfolio 200 in 23ms (compile: 4ms, render: 18ms)
✓ Compiled in 37ms
 GET /portfolio 200 in 392ms (compile: 118ms, render: 274ms)
 GET /sw.js 404 in 20ms (compile: 3ms, render: 17ms)
 GET /portfolio 200 in 62ms (compile: 15ms, render: 47ms)
 GET /sw.js 404 in 48ms (compile: 8ms, render: 40ms)
 GET /?ticker=AAPL 200 in 24ms (compile: 7ms, render: 17ms)
 GET /portfolio 200 in 21ms (compile: 5ms, render: 16ms)
 GET /?ticker=SNDK 200 in 43ms (compile: 18ms, render: 25ms)
 GET /portfolio 200 in 25ms (compile: 8ms, render: 16ms)
✓ Compiled in 205ms
⚠ Fast Refresh had to perform a full reload due to a runtime error.
✓ Compiled in 41ms
 GET /portfolio 200 in 212ms (compile: 97ms, render: 114ms)
 GET /sw.js 404 in 29ms (compile: 8ms, render: 21ms)
 GET /portfolio 200 in 58ms (compile: 5ms, render: 52ms)
 GET /sw.js 404 in 20ms (compile: 3ms, render: 16ms)
 GET /portfolio 200 in 41ms (compile: 8ms, render: 33ms)
 GET /sw.js 404 in 22ms (compile: 3ms, render: 18ms)
 GET /portfolio 200 in 83ms (compile: 33ms, render: 50ms)
 GET /sw.js 404 in 27ms (compile: 6ms, render: 21ms)
 GET / 200 in 23ms (compile: 8ms, render: 15ms)
 GET /?ticker=AAPL 200 in 12ms (compile: 1111µs, render: 11ms)
 GET /?ticker=AAPL 200 in 23ms (compile: 3ms, render: 20ms)
 GET /?ticker=SLV 200 in 21ms (compile: 7ms, render: 13ms)
 GET /?ticker=AAPL 200 in 12ms (compile: 1492µs, render: 11ms)
